colct_stdde,sle_site_domn,prices_prdlst_id,goods_nm,shop_nm,anals_trget_pc,Price,expsr_ordr,job_id,kf,Rand
2020-05-19,search.shopping.naver.com,F012050,(재고보유 오늘출발) 뉴네퓨어 건영 이룸 대형 성인용 KF94 코로나 마스크 랜덤발송 5매입 - SHALL I,SHALL I,14500,2900,13,490001,94,0.643975928
2020-05-09,search.shopping.naver.com,F012050,(대한도매) kf94 대형마스크 1개 개별포장 늘푸른마스크 - 스토어워치,스토어워치,3840,3840,6,490008,94,0.643983219
2020-04-02,search.shopping.naver.com,F012050,뉴네퓨어 황사 방역용 마스크 KF94 대형 성인용 5매 - 옥션,옥션,23530,4706,5,490001,94,0.643987487
2020-05-12,search.shopping.naver.com,F012050,엠플러스 국산 미세먼지 황사마스크 KF94 화이트 1개 - 옥션,옥션,2660,2660,25,490008,94,0.644174368
2020-04-29,search.shopping.naver.com,F012050,KF94 대형 입체 마스크 1개 / 화이트 / 제로베이 - 옥션,옥션,2310,2310,20,490008,94,0.644191902
2020-04-17,search.shopping.naver.com,F012050,[아레카] 아레카 KF94 미세먼지 마스크 / 그레이 대형 1팩 (5매입) - 위메프,위메프,14990,2998,39,490015,94,0.64439699
2020-05-20,search.shopping.naver.com,F012050,(대한도매) kf94 대형마스크 1개 개별포장 숨마스크 - 11번가,11번가,3800,3800,14,490008,94,0.644475544
2020-05-23,search.shopping.naver.com,F012050,퓨어케어 방역 황사마스크 KF94 대형 화이트(백색) 1매입*10봉 - 11번가,11번가,18900,1890,61,490015,94,0.644630905
2020-02-21,search.shopping.naver.com,F012091,몬스터건강 탐사황사마스크KF94 인가드 KF80 에티카 닥터퓨리 미세먼지 크리넥스데일리일회용 더숨 꼼짝 - 몬스터건강,몬스터건강,5000,,3,490002,94,0.644655655
2020-05-07,search.shopping.naver.com,F012050,(대한도매) kf94 대형마스크 1개 개별포장 늘푸른마스크 - 쾌걸생활,쾌걸생활,4500,4500,7,490008,94,0.644686579
2020-04-06,search.shopping.naver.com,F012050,애니프리 KF80 인증 필터 사용 마스크 대형 10매(I024) - 옥션,옥션,22410,2241,79,490013,80,0.644901803
2020-04-28,search.shopping.naver.com,F012050,KF94 마스크 소형/대형 황사방역 일회용마스크 1개 - 코코뷰티 코리아,코코뷰티 코리아,2290,2290,2,490008,94,0.64492689
2020-05-06,search.shopping.naver.com,F012050,하늬숨 kf94 4중필터 마스크 대형1매 코로나미세먼지 - 인터파크,인터파크,1450,1450,37,490015,94,0.644987662
