colct_stdde,sle_site_domn,prices_prdlst_id,prices_prdlst_nm,goods_nm,anals_trget_pc,job_id
2020-07-01,www.interpark.com,A017230,마늘,혼합생강가루(맷돌 60g)X200,213600.000,18830
2020-07-01,www.interpark.com,A017230,마늘,혼합마늘가루(맷돌 400g)X20,152110.000,18830
2020-07-01,www.interpark.com,A017230,마늘,마늘가루(맷돌 60g)X200,149260.000,18830
2020-07-01,www.interpark.com,A017230,마늘,혼합마늘가루(신영 500g)X12,146680.000,18830
2020-07-01,www.interpark.com,A017230,마늘,혼합마늘가루(이슬 450g)X12,78500.000,18830
2020-07-01,www.interpark.com,A017230,마늘,혼합마늘가루(신영 500g),15000.000,18830
2020-07-01,www.interpark.com,A017230,마늘,혼합마늘가루(이슬 450g),7400.000,18830
2020-07-01,www.interpark.com,A017230,마늘,마늘가루(맷돌 60g)X10,8800.000,18830
2020-07-01,www.interpark.com,A017230,마늘,혼합마늘가루(맷돌 400g),9500.000,18830
2020-07-01,www.interpark.com,A017230,마늘,마늘가루(맷돌 60g)X2,1900.000,18830
2020-07-01,www.interpark.com,A017230,마늘,혼합생강가루(맷돌 60g)X2,2900.000,18830
2020-07-01,www.interpark.com,A017230,마늘,혼합생강가루(맷돌 60g)X20,25300.000,18830
2020-07-01,www.interpark.com,A017230,마늘,생강가루(이슬 450g),6900.000,18830
2020-07-01,www.interpark.com,A017230,마늘,생강가루(이슬 450g)X12,74000.000,18830
2020-07-01,www.interpark.com,A017230,마늘,생강가루(이슬 450g)X4,25800.000,18830
2020-07-01,www.interpark.com,A017230,마늘,다진마늘(옛날 1K) 12개입,41990.000,18830
2020-07-01,www.interpark.com,A017230,마늘,경남남해 이가락 힘 흑마늘 진액 60ml 30포,42500.000,18830
2020-07-01,www.interpark.com,A017230,마늘,경남남해 이가락 흑마늘 강산 진액골드 70ml 30포,65000.000,18830
2020-07-01,www.interpark.com,A017230,마늘,경남남해 이가락 흑마늘 강산 흑 알마늘 80g10봉지,60000.000,18830
2020-07-01,www.interpark.com,A017230,마늘,[친환경팔도] 국내산 깐 대파 1kg,7750.000,18830
2020-07-01,www.interpark.com,A017230,마늘,생강1kg 우리장터 국내산 흙생강,12000.000,18830
2020-07-01,www.interpark.com,A017230,마늘,생강5kg 우리장터 국내산 흙생강,55000.000,18830
2020-07-01,www.interpark.com,A017230,마늘,생강10kg 우리장터 국내산 흙생강,106800.000,18830
2020-07-01,www.interpark.com,A017230,마늘,다진마늘(옛날 1K) 6개입,21990.000,18830
2020-07-01,www.interpark.com,A017230,마늘,다진마늘(옛날 1K) 1개입,5590.000,18830
2020-07-01,www.interpark.com,A017230,마늘,세척생강1kg 우리장터 중국산 수입생강,9500.000,18830
2020-07-01,www.interpark.com,A017230,마늘,세척생강(특)1kg 우리장터 중국산 수입생강,9500.000,18830
2020-07-01,www.interpark.com,A017230,마늘,청정 티베트 샹그릴라 통흑마늘 500g2통+250g1통,60000.000,18830
2020-07-01,www.interpark.com,A017230,마늘,청정 티베트 샹그릴라 통흑마늘 500g2통+100g1통,50000.000,18830
2020-07-01,www.interpark.com,A017230,마늘,청정 티베트 샹그릴라 통흑마늘 500g1통+100g1통,30000.000,18830
2020-07-01,www.interpark.com,A017230,마늘,청정 티베트 샹그릴라 통흑마늘 500g3통,75000.000,18830
2020-07-01,www.interpark.com,A017230,마늘,청정 티베트 샹그릴라 통흑마늘 500g3통+teapot 증정,75000.000,18830
2020-07-01,www.interpark.com,A017230,마늘,청정 티베트 샹그릴라 통흑마늘 500g3통+스포츠물병,75000.000,18830
2020-07-01,www.interpark.com,A017230,마늘,청정 티베트 샹그릴라 통흑마늘 500g3통+텀블러,75000.000,18830
2020-07-01,www.interpark.com,A017230,마늘,남해산 명품 이가락 흑마늘 강산 진액골드 70ml 30포,65000.000,18830
2020-07-01,www.interpark.com,A017230,마늘,남해산 이가락 힘 흑마늘 진액 60ml 30포,42500.000,18830
2020-07-01,www.interpark.com,A017230,마늘,남해산 이가락 흑마늘 강산 흑 알마늘 80g10봉,60000.000,18830
2020-07-01,www.interpark.com,A017230,마늘,히말라야 샹그릴라 무공해 무첨가 통흑마늘 500g,30000.000,18830
2020-07-01,www.interpark.com,A017230,마늘,쿡네이처 2020년 햇 양파 (10Kg),10400.000,18830
2020-07-01,www.interpark.com,A017230,마늘,세척생강(특)5kg 우리장터 중국산 수입생강,47000.000,18830
2020-07-01,www.interpark.com,A017230,마늘,채선해 마늘피클 (1.2kgx2개) 봄철입맛 추천,63670.000,18830
2020-07-01,www.interpark.com,A017230,마늘,깐마늘(대)1kg 우리장터 햇마늘 국내산 생 통마늘,5500.000,18830
2020-07-01,www.interpark.com,A017230,마늘,깐마늘(중)1kg 우리장터 햇마늘 국내산 생 통마늘,5000.000,18830
2020-07-01,www.interpark.com,A017230,마늘,깐마늘(소)1kg 우리장터 햇마늘 국내산 생 통마늘,4500.000,18830
2020-07-01,www.interpark.com,A017230,마늘,[명가일품] 20년산 고흥 황토밭 무농약 양파 3kg (중/대),13350.000,18830
2020-07-01,www.interpark.com,A017230,마늘,[명가일품] 20년산 고흥 황토밭 무농약 양파 5kg (특대),12350.000,18830
2020-07-01,www.interpark.com,A017230,마늘,[명가일품] 20년산 고흥 황토밭 무농약 양파 3kg (특대),8420.000,18830
2020-07-01,www.interpark.com,A017230,마늘,[명가일품] 20년산 고흥 황토밭 무농약 양파 10kg (중/대),36770.000,18830
2020-07-01,www.interpark.com,A017230,마늘,[명가일품] 20년산 고흥 황토밭 무농약 양파 10kg (특대),22350.000,18830
2020-07-01,www.interpark.com,A017230,마늘,[명가일품] 20년산 고흥 황토밭 무농약 양파 5kg (중/대),20350.000,18830
2020-07-01,www.interpark.com,A017230,마늘,[푸른들] 2020년 무농약 양파 3kg(특대/개당300g이상),9900.000,18830
2020-07-01,www.interpark.com,A017230,마늘,[푸른들] 2020년 무농약 양파 5kg(특대/개당300g이상),13900.000,18830
2020-07-01,www.interpark.com,A017230,마늘,[푸른들] 2020년 무농약 양파 3kg(중대/개당250g이내),14900.000,18830
2020-07-01,www.interpark.com,A017230,마늘,[푸른들] 2020년 무농약 양파 5kg(중대/개당250g이내),21900.000,18830
2020-07-01,www.interpark.com,A017230,마늘,[푸른들]2020년 무농약 양파 10kg(특대/개당300g이상),24000.000,18830
2020-07-01,www.interpark.com,A017230,마늘,[푸른들]2020년 무농약 양파 10kg(중대/개당250g이내),41000.000,18830
2020-07-01,www.interpark.com,A017230,마늘,토종생강1kg 우리장터 국내산 식용 및 종자 생강,16000.000,18830
2020-07-01,www.interpark.com,A017230,마늘,세척생강(특)10kg 우리장터 중국산 수입생강,87000.000,18830
2020-07-01,www.interpark.com,A017230,마늘,세척생강5kg 우리장터 중국산 수입생강,47000.000,18830
2020-07-01,www.interpark.com,A017230,마늘,세척생강10kg 우리장터 중국산 수입생강,87000.000,18830
2020-07-01,www.interpark.com,A017230,마늘,깐마늘(대)5kg 우리장터 햇마늘 국내산 생 통마늘,26000.000,18830
2020-07-01,www.interpark.com,A017230,마늘,깐마늘(중)5kg 우리장터 햇마늘 국내산 생 통마늘,22000.000,18830
2020-07-01,www.interpark.com,A017230,마늘,깐마늘(소)5kg 우리장터 햇마늘 국내산 생 통마늘,21000.000,18830
2020-07-01,www.interpark.com,A017230,마늘,쿡네이처 알싸한 깐마늘(1Kg),6900.000,18830
2020-07-01,www.interpark.com,A017230,마늘,쿡네이처 알싸한 깐마늘(3Kg),15900.000,18830
2020-07-01,www.interpark.com,A017230,마늘,쿡네이처 덜매운 깐마늘(1Kg),6900.000,18830
2020-07-01,www.interpark.com,A017230,마늘,쿡네이처 덜매운 깐마늘(3Kg),15900.000,18830
2020-07-01,www.interpark.com,A017230,마늘,[푸른들] 2020년 무농약 양파 10kg (중대/개당250g이내),38710.000,18830
2020-07-01,www.interpark.com,A017230,마늘,[푸른들] 2020년 무농약 양파 10kg (특대/개당300g이상),22950.000,18830
